FID_,Name,ID,x_cord,y_cord,type,SD_low,SD_high,area,Elev,MAX_Elev,Precip
,Soyang Dam,D1,395832.6139,4200437.123,Dam,1179.06,1340.31,2703,196,#N/A,1327.094971
,Chungju Dam,D2,410362.5021,4096024.67,Dam,1424.51,1835.33,6648,139,#N/A,1276.869263
,Hoengseong Dam,D3,414496.3013,4155711.909,Dam,237.9,237.9,209,180,#N/A,1397.977661
,Andong Dam,D4,479737.7586,4048853.154,Dam,141.7,469.3,1584,149,#N/A,1121.822632
,Imha Dam,D5,489556.8943,4043574.072,Dam,390,884,1361,164,#N/A,1092.864868
,Hapcheon Dam,D6,416959.3086,3933320.991,Dam,830.7,1160.9,925,167,#N/A,1379.755493
,Milyang Dam,D7,493771.7952,3926591.214,Dam,494,494,2285,181,#N/A,1261.530762
,Namgang Dam,D8,412338.7967,3891870.694,Dam,385,385,95.4000015,45,#N/A,1500.24585
,Daecheong Dam,D9,363906.5287,4037985.068,Dam,157.32,850.08,4134,72,#N/A,1308.916382
,Yongdam Dam,D10,367010.5623,3978768.755,Dam,NaN,NaN,930,255,#N/A,1291.759888
,Seomjingang Dam,D11,328641.4868,3934665.567,Dam,596.7,596.7,763,196,#N/A,1341.12561
,Juam Dam,D12,339345.1728,3881529.256,Dam,984.9,984.9,1010,113,#N/A,1409.413818
,Dalbang-Dam,D13,0,0,Dam,640.9,925.6,29.3999996,105,#N/A,1439.82373
,Gwangdong-Dam,D14,0,0,Dam,928.2,928.2,125,674,#N/A,1439.305176
,Angye-Dam,D15,0,0,Dam,NaN,NaN,6.6999998,48,#N/A,1144.490479
,Youngcheon-Dam,D16,0,0,Dam,1994.2,1994.2,235,154,#N/A,1075.787109
,Unmun-Dam,D17,0,0,Dam,391.3,391.3,301.2999878,136,#N/A,1145.914673
,Daegok-Dam,D18,0,0,Dam,NaN,NaN,57.5,94,#N/A,1225.409546
,Seonam-Dam,D19,0,0,Dam,NaN,NaN,1.2,31,#N/A,1284.171265
,Sayeon-Dam,D20,0,0,Dam,284.7,284.7,67,56,#N/A,1244.605225
,Daeam-Dam,D21,0,0,Dam,1539.2,1539.2,77,48,#N/A,1258.245117
,Yeoncho-Dam,D22,0,0,Dam,1079,1079,11.7299995,54,#N/A,1765.753662
,Gucheongyo,D23,0,0,Dam,2568.8,2568.8,12.6999998,42,#N/A,1782.223755
,Gampo-Dam,D24,0,0,Dam,NaN,NaN,3.6700001,35,#N/A,1225.915405
,Sueo-Dam,D25,0,0,Dam,556.4,556.4,49,60,#N/A,1543.467773
