date,Q
1994-07-06,11.0
1994-07-07,139.0
1994-07-08,119.0
1994-07-09,31.0
1994-07-10,20.0
1994-07-11,20.0
1994-07-12,20.0
1994-07-13,20.0
1994-07-14,20.0
1994-07-15,20.0
1994-07-16,20.0
1994-07-17,20.0
1994-07-18,20.0
1994-07-19,20.0
1994-07-20,20.0
1994-07-21,20.0
1994-07-22,20.0
1994-07-23,20.0
1994-07-24,20.0
1994-07-25,20.0
1994-07-26,20.0
1994-07-27,20.0
1994-07-28,20.0
1994-07-29,20.0
1994-07-30,20.0
1994-07-31,20.0
1994-08-01,60.0
1994-08-02,273.0
1994-08-03,25.0
1994-08-04,23.0
1994-08-05,23.0
1994-08-06,23.0
1994-08-07,23.0
1994-08-08,23.0
1994-08-09,22.0
1994-08-10,21.0
1994-08-11,21.0
1994-08-12,21.0
1994-08-13,21.0
1994-08-14,21.0
1994-08-15,21.0
1994-08-16,21.0
1994-08-17,21.0
1994-08-18,21.0
1994-08-19,21.0
1994-08-20,21.0
1994-08-21,21.0
1994-08-22,21.0
1994-08-23,21.0
1994-08-24,21.0
1994-08-25,21.0
1994-08-26,21.0
1994-08-27,21.0
1994-08-28,21.0
1994-08-29,32.0
1994-08-30,32.0
1994-08-31,18.0
1994-09-01,18.0
1994-09-02,18.0
1994-09-03,18.0
1994-09-04,18.0
1994-09-05,18.0
1994-09-06,18.0
1994-09-07,18.0
1994-09-08,18.0
1994-09-09,18.0
1994-09-10,18.0
1994-09-11,18.0
1994-09-12,18.0
1994-09-13,18.0
1994-09-14,18.0
1994-09-15,18.0
1994-09-16,18.0
1994-09-17,18.0
1994-09-18,18.0
1994-09-19,18.0
1994-09-20,18.0
1994-09-21,18.0
1994-09-22,18.0
1994-09-23,18.0
1994-09-24,18.0
1994-09-25,18.0
1994-09-26,18.0
1994-09-27,18.0
1994-09-28,18.0
1994-09-29,18.0
1994-09-30,17.0
1994-10-01,18.0
1994-10-02,18.0
1994-10-03,18.0
1994-10-04,18.0
1994-10-05,18.0
1994-10-06,18.0
1994-10-07,18.0
1994-10-08,18.0
1994-10-09,18.0
1994-10-10,18.0
1994-10-11,18.0
1994-10-12,118.0
1994-10-13,32.0
1994-10-14,21.0
1994-10-15,21.0
1994-10-16,109.0
1994-10-17,100.0
1994-10-18,20.0
1995-08-21,187.0
1995-08-22,118.0
1995-08-23,135.0
1995-08-24,1106.0
1995-08-25,1579.0
1995-08-26,782.0
1995-08-27,753.0
1995-08-28,326.0
1995-08-29,130.0
1996-01-01,10.0
1996-01-02,10.0
1996-01-03,10.0
1996-01-04,10.0
1996-01-05,10.0
1996-01-06,10.0
1996-01-07,10.0
1996-01-08,10.0
1996-01-09,10.0
1996-01-10,10.0
1996-01-11,10.0
1996-01-12,10.0
1996-01-13,10.0
1996-01-14,10.0
1996-01-15,10.0
1996-01-16,10.0
1996-01-17,10.0
1996-01-18,10.0
1996-01-19,10.0
1996-01-20,10.0
1996-01-21,10.0
1996-01-22,10.0
1996-01-23,10.0
1996-01-24,10.0
1996-01-25,10.0
1996-01-26,10.0
1996-01-27,10.0
1996-01-28,10.0
1996-01-31,10.0
1996-02-01,10.0
1996-02-02,10.0
1996-02-03,10.0
1996-02-04,10.0
1996-02-05,10.0
1996-02-06,10.0
1996-02-07,10.0
1996-02-08,10.0
1996-02-09,10.0
1996-02-10,10.0
1996-02-11,10.0
1996-02-12,10.0
1996-02-13,10.0
1996-02-14,10.0
1996-02-15,10.0
1996-02-16,10.0
1996-02-17,10.0
1996-02-18,10.0
1996-02-19,10.0
1996-02-20,10.0
1996-02-21,10.0
1996-02-22,10.0
1996-02-23,10.0
1996-02-24,10.0
1996-02-25,10.0
1996-02-26,10.0
1996-02-27,10.0
1996-02-28,10.0
1996-03-01,8.0
1996-03-02,6.0
1996-03-03,6.0
1996-03-04,6.0
1996-03-05,75.0
1996-03-06,6.0
1996-03-07,6.0
1996-03-08,6.0
1996-03-09,6.0
1996-03-10,6.0
1996-03-11,6.0
1996-03-12,6.0
1996-03-13,6.0
1996-03-14,6.0
1996-03-15,6.0
1996-03-16,6.0
1996-03-17,6.0
1996-03-18,6.0
1996-03-19,6.0
1996-03-20,6.0
1996-03-21,6.0
1996-03-22,6.0
1996-03-23,6.0
1996-03-24,6.0
1996-03-25,6.0
1996-03-26,6.0
1996-03-27,6.0
1996-03-28,6.0
1996-03-29,6.0
1996-03-30,40.0
1996-03-31,15.0
1996-04-01,11.0
1996-04-02,10.0
1996-04-03,10.0
1996-04-04,10.0
1996-04-05,10.0
1996-04-06,10.0
1996-04-07,10.0
1996-04-08,10.0
1996-04-09,10.0
1996-04-10,2416.0
1996-04-11,10.0
1996-04-12,10.0
1996-04-13,10.0
1996-04-14,10.0
1996-04-15,10.0
1996-04-16,10.0
1996-04-17,10.0
1996-04-18,10.0
1996-04-19,10.0
1996-04-20,10.0
1996-04-21,9.0
1996-04-22,9.0
1996-04-23,10.0
1996-04-24,10.0
1996-04-25,10.0
1996-04-26,10.0
1996-04-27,10.0
1996-04-28,10.0
1996-04-29,10.0
1996-04-30,10.0
1996-05-01,10.0
1996-05-02,10.0
1996-05-03,10.0
1996-05-04,10.0
1996-05-05,10.0
1996-05-06,10.0
1996-05-07,10.0
1996-05-08,10.0
1996-05-09,10.0
1996-05-10,9.0
1996-05-11,10.0
1996-05-12,9.0
1996-05-13,10.0
1996-05-14,10.0
1996-05-15,416.0
1996-05-16,2457.0
1996-05-17,10.0
1996-05-18,37.0
1996-05-19,9.0
1996-05-20,188.0
1996-05-21,10.0
1996-05-22,8.0
1996-05-23,9.0
1996-05-24,10.0
1996-05-25,8.0
1996-05-26,9.0
1996-05-27,72.0
1996-05-28,9.0
1996-05-29,10.0
1996-05-30,9.0
1996-05-31,1644.0
1996-06-01,9.0
1996-06-02,2363.0
1996-06-03,9.0
1996-06-04,1171.0
1996-06-05,2330.0
