date,Q
2015-07-09,11.45
2015-07-13,15.4
2015-07-14,28.5
2015-07-15,33.7
2015-07-16,28.1
2015-07-17,23.2
2015-07-18,20.4
2015-07-19,19.2
2015-07-20,17.9
2015-07-21,16.7
2015-07-22,15.8
2015-07-23,22.5
2015-07-24,50.9
2015-07-25,285.1
2015-07-26,190.2
2015-07-27,105.3
2015-07-28,71.4
2015-07-29,55.7
2015-07-30,48.9
2015-07-31,41.8
2015-08-01,35.5
2015-08-02,31.9
2015-08-03,33.3
2015-08-04,29.7
2015-08-05,25.7
2015-08-06,23.8
2015-08-07,21.5
2015-08-08,19.6
2015-08-09,19.9
2015-08-10,52.2
2015-08-11,35.0
2015-08-12,27.6
2015-08-13,23.2
2015-08-14,24.2
2015-08-15,26.1
2015-08-16,27.5
2015-08-17,25.9
2015-08-18,22.1
2015-08-19,20.1
2015-08-20,18.5
2015-08-21,17.5
2015-08-22,17.0
2015-08-23,15.9
2015-08-24,15.1
2015-08-25,52.4
2015-08-26,837.9
2015-08-27,300.8
2015-08-28,141.2
2015-08-29,89.3
2015-08-30,64.7
2015-08-31,64.0
2015-09-01,56.1
2015-09-02,46.0
2015-09-03,45.8
2015-09-04,39.8
2015-09-05,34.4
2015-09-06,32.1
2015-09-07,38.1
2015-09-08,54.1
2015-09-09,46.1
2015-09-10,39.4
2015-09-11,33.6
2015-09-12,30.8
2015-09-13,30.3
2015-09-14,28.3
2015-09-15,24.5
2015-09-16,22.5
2015-09-17,20.4
2015-09-18,19.5
2015-09-19,18.0
2015-09-20,17.5
2015-09-21,16.8
2015-09-22,15.8
2015-09-23,15.3
2015-09-24,14.7
2015-09-25,14.3
2015-09-26,13.8
2015-09-27,13.3
2015-09-28,13.2
2015-09-29,12.4
2015-09-30,12.2
2015-10-01,11.7
2015-10-02,13.7
2015-10-03,21.6
2015-10-04,19.8
2015-10-05,16.3
2015-10-06,14.5
2015-10-07,13.2
2015-10-08,12.4
2015-10-09,11.9
2015-10-10,11.5
2015-10-11,11.5
2015-10-12,11.5
2015-10-13,11.5
2015-10-14,11.5
2015-10-15,10.6
2015-10-16,10.6
2015-10-17,10.6
2015-10-18,9.7
2015-10-19,9.7
2015-10-20,9.7
2015-10-21,8.9
2015-10-22,8.9
2015-10-23,8.9
2015-10-24,8.9
