date,Q
1994-07-06,19.0
1994-07-07,38.0
1994-07-08,90.0
1994-07-09,83.0
1994-07-10,57.0
1994-07-11,44.0
1994-07-12,37.0
1994-07-13,22.0
1994-07-14,21.0
1994-07-15,12.0
1994-07-16,15.0
1994-07-17,15.0
1994-07-18,14.0
1994-07-19,13.0
1994-07-20,11.0
1994-07-21,10.0
1994-07-22,9.0
1994-07-23,8.0
1994-07-24,7.0
1994-07-25,6.0
1994-07-26,6.0
1994-07-27,5.0
1994-07-28,5.0
1994-07-29,5.0
1994-07-30,6.0
1994-07-31,8.0
1994-08-01,12.0
1994-08-02,22.0
1994-08-03,15.0
1994-08-04,12.0
1994-08-05,17.0
1994-08-06,12.0
1994-08-07,8.0
1994-08-08,7.0
1994-08-09,6.0
1994-08-10,7.0
1994-08-11,45.0
1994-08-12,44.0
1994-08-13,27.0
1994-08-14,20.0
1994-08-15,15.0
1994-08-16,13.0
1994-08-17,14.0
1994-08-18,13.0
1994-08-19,11.0
1994-08-20,10.0
1994-08-21,8.0
1994-08-22,7.0
1994-08-23,6.0
1994-08-24,6.0
1994-08-25,6.0
1994-08-26,20.0
1994-08-27,14.0
1994-08-28,11.0
1994-08-29,23.0
1994-08-30,32.0
1994-08-31,25.0
1994-09-01,19.0
1994-09-02,16.0
1994-09-03,15.0
1994-09-04,13.0
1994-09-05,13.0
1994-09-06,15.0
1994-09-07,14.0
1994-09-08,10.0
1994-09-09,10.0
1994-09-10,9.0
1994-09-11,9.0
1994-09-12,8.0
1994-09-13,7.0
1994-09-14,7.0
1994-09-15,6.0
1994-09-16,6.0
1994-09-17,6.0
1994-09-18,10.0
1994-09-19,9.0
1994-09-20,8.0
1994-09-21,7.0
1994-09-22,6.0
1994-09-23,5.0
1994-09-24,6.0
1994-09-25,5.0
1994-09-26,4.0
1994-09-27,4.0
1994-09-28,4.0
1994-09-29,4.0
1994-09-30,3.0
1994-10-01,4.0
1994-10-02,4.0
1994-10-03,4.0
1994-10-04,3.0
1994-10-05,3.0
1994-10-06,3.0
1994-10-07,4.0
1994-10-08,4.0
1994-10-09,3.0
1994-10-10,3.0
1994-10-11,3.0
1994-10-12,67.0
1994-10-13,47.0
1994-10-14,25.0
1994-10-15,18.0
1994-10-16,51.0
1994-10-17,52.0
1994-10-18,35.0
1995-08-21,123.0
1995-08-22,99.0
1995-08-23,127.0
1995-08-24,642.0
1995-08-25,723.0
1995-08-26,268.0
1995-08-27,440.0
1995-08-28,177.0
1995-08-29,105.0
1996-01-01,8.0
1996-01-02,8.0
1996-01-03,8.0
1996-01-04,8.0
1996-01-05,8.0
1996-01-06,8.0
1996-01-07,8.0
1996-01-08,8.0
1996-01-09,8.0
1996-01-10,8.0
1996-01-11,8.0
1996-01-12,8.0
1996-01-13,8.0
1996-01-14,8.0
1996-01-15,8.0
1996-01-16,8.0
1996-01-17,8.0
1996-01-18,8.0
1996-01-19,8.0
1996-01-20,8.0
1996-01-21,8.0
1996-01-22,8.0
1996-01-23,8.0
1996-01-24,8.0
1996-01-25,8.0
