Site_id,Name,Alt_name,Watershed,Area,
H1,Yeoju,,Han,"11,047.00",
H2,Heungcheon,,Han,283.5,
H3,Munmak,,Han,"1,346.00",
H4,Yulgeuk,,Han,173.4,
H5,Cheongmi,,Han,518.6,
H6,Namhanriver,,Han,"8,822.70",
H7,Heukcheon,,Han,306.7,
HU1,Yeongchun,YeongChun,Han,"4,782.20",
HU2,Samok bridge,SamOkGyo,Han,"2,447.90",
HU3,Yeongwol1,YeongWeol1,Han,"1,615.00",
HU4,Dalcheon,DalCheon,Han,"1,390.40",
HU5,Maeil,MaeIll,Han,164.1,
HU6,Bukcheon,BukCheon,Han,304.1,
HU7,Naerincheon,NaeLinCheon,Han,1039.1,
HU8,Wontong,WeonTong,Han,531,
N1,Seonsan,,Nakdong,978.8,
N2,Dongchon,,Nakdong,"1,541.10",
N3,Gumi,,Nakdong,"10,912.80",
N4,Nakdong,,Nakdong,"9,406.80",
N5,Waegwan,,Nakdong,"11,100.60",
N6,Ilseon bridge,,Nakdong,"9,532.90",
N7,Jindong,,Nakdong,"20,381.00",
N8,Jeongam,,Nakdong,"2,998.60",
N9,Hyangseok,,Nakdong,"1,512.00",
N10,Dongmun,,Nakdong,175.3,
N11,Jeomchon,,Nakdong,614.5,
N12,Yonggok,,Nakdong,"1,318.00",
N13,Jukgo,,Nakdong,"1,239.10",
N14,Gaejin2,,Nakdong,749.9,
NU1,Socheon,SoCheon,Nakdong,697.1,
NU2,Yangsam,YangSam,Nakdong,"1,147.40",
NU3,Yeongyang,YeongYang,Nakdong,314.3,
NU4,Dongcheon,DongChun,Nakdong,142.9,
NU5,Cheongsong,CheongSong,Nakdong,307.9,
NU6,Geochang1,GeoChang1,Nakdong,227.7,
NU7,Geochang2,GeoChang2,Nakdong,179,
NU8,Jisan,JiSan,Nakdong,160.6,
NU9,Donggok2,DongGog,Nakdong,34,
NU10,Gohyeon,GoHyun,Nakdong,14.9,
NU11,Daeri,DaeRi,Nakdong,61,
NU12,Changchon,ChangChon,Nakdong,334.2,
NU13,Sancheong,SanCheong,Nakdong,"1,132.00",
NU14,Taesu,TaeSu,Nakdong,243,
NU15,Imcheon,ImCheon,Nakdong,467,
NU16,Oesong,OeSong,Nakdong,"1,231.50",
G1,Hoedeok,,Geum,606.4,
G2,Gongju,,Geum,"6,275.10",
G3,Hapgang,,Geum,"1,850.00",
G4,Useong,,Geum,257.5,
G5,Guryong,,Geum,207.5,
GU1,Okcheon,OkCheon,Geum,"1,984.70",
GU2,Cheongseong,CheongSeong,Geum,490.8,
GU3,Hotan,,Geum,"1,002.80",
GU4,CheonCheon,CheonCheon,Geum,291,
GU5,Donghyang,DongHyang,Geum,165,
Y1,Hakgyo,,Yeongsan,190.1,
Y2,Naju,,Yeongsan,"2,039.00",
Y3,Mareuk,,Yeongsan,668.2,
Y4,Nampyeong,,Yeongsan,580.3,
Y5,Seonam,,Yeongsan,551.9,
YU1,Bongdeok,BongDeok,Yeongsan,43.6,
S1,Jukgok,,Seomjin,"1,268.50",
S2,Gokseong,,Seomjin,"1,787.70",
S3,Gurye2,,Seomjin,"3,817.70",
S4,Yongseo,,Seomjin,127.8,
SU1,Gwanchon,GwanChon,Seomjin,359.1,
SU2,Ssangchi2,,Seomjin,133.1,
SU3,Gyeombaek,GyeomBaeg,Seomjin,295.1,
SU4,Jangjeon2,,Seomjin,273.2,
SU5,Songjeon,SongJeon,Seomjin,59.4,
